id,question,option_a,option_b,option_c,option_d,option_e,correct_answers,explanation,category,difficulty
11,Cloud Kicks (CK) の営業担当者は、受注前に注文の確認が必要なときに承認申請を忘れます。CKは、手動での申請をなくすために、商談をセキュアコミットメントステージに自動的に申請したいと考えています。どの機能がビジネス要件を満たしていますか?,高速フィールド更新に最適化されたレコードトリガーフロー,カスタムボタンと画面フロー,プラットフォームイベントトリガーフロー,アクションと関連レコードに最適化されたレコードトリガーフロー,,D,レコードの保存前や保存後に自動処理を呼び出せるフローの事をレコードトリガーフローと呼びます。商談フェーズの条件を満たした際に [アクションと関連レコード] を呼び出すレコードトリガーフローを作成し、承認申請アクションを呼び出せば、承認申請プロセスを自動化できます。,Platformアプリケーションビルダー,中級
12,取引先のカスタム項目は、顧客に関する財務情報を追跡するために使用され、財務チームのメンバーのみがこの項目にアクセスできます。ただし、特別な状況の時のみ、カスタマーサービスプロファイルが割り当てられた1人のカスタマーサービスエージェントに、項目への読み取り専用アクセスを許可したいと考えています。カスタマーサービスエージェントにアクセスを許可するための推奨ソリューションはどれですか？,カスタム項目の項目レベルセキュリティを更新して、エージェントが項目に読み取り専用でアクセスできるようにします。,カスタム項目への読み取り専用アクセスを許可する権限セットを作成し、それをエージェントに割り当てます。,カスタム項目への読み取り専用アクセスを許可する新しいプロファイルを作成し、エージェントに割り当てます。,すでにエージェントに割り当てられているカスタマーサービスプロファイルを更新して、項目への読み取り専用アクセスを許可します。,,B,1ユーザにだけアクセス権の拡張をしたり、一時的にアクセス権を付与したい場合、権限セットが用いられます。財務が利用するカスタム項目に参照アクセス権を付与した権限セットを作成しておき、特別な状況になった場合に、カスタマーサービスエージェントの1ユーザに権限セットを割り当てると要件を満たせます。,Platformアプリケーションビルダー,中級
13,"Cloud Kicks は、50,000ドルを超えるすべての商談をマネージャーが承認してから「受注」としてマークする必要がある商談の承認プロセスを実装しています。マネージャーがSalesforceモバイルアプリで承認リクエストに応答するために利用できる2つの配信方法はどれですか? 回答を2つ選択してください",ホーム画面,アプリ内通知,レコードの詳細,ナビゲーションメニュー,,"B,C",アプリケーション内通知を有効化している場合、Salesforceモバイルアプリに承認申請を配信（通知を送る事が）できます。また、モバイルのレコード詳細ページ内に承認状況、承認者などの情報を配信する事ができます。,Platformアプリケーションビルダー,中級
14,Cloud Kicks チームの新しいアプリビルダーが、データモデル内の関係に慣れつつあります。どの機能を使用すれば、アプリビルダーは1つのUIですべての関係を包括的に把握できるでしょうか。,スキーマビルダー,Lightningオブジェクトクリエーター,オブジェクトマネージャー,Lightningレコードページ,,A,スキーマビルダーは1つのUIでオブジェクト間のリレーション関係や項目を表示できます。,Platformアプリケーションビルダー,中級
15,採用を増やすために、Universal ContainersはSalesforceデータモデルの変更を提案して、営業担当者が主要な指標を簡単に確認できるようにします。提案には、取引先に関連する3つのカスタムオブジェクトがあり、1つは主従関係、2つはそうではありません。これらの各オブジェクトには、取引先で集計する15の項目があります。この提案の2つの考慮事項は何ですか?,積み上げ集計は主従関係に限定されます。,積み上げ集計では、MAX、MIN、SUM、COUNT、およびAVGを使用できます。,オブジェクトは25の積み上げ集計を持つことができます。,オブジェクトは20個のオブジェクト参照を持つことができます。,,"A,C",積み上げ集計は主従関係の場合にのみ利用でき、集計方法に、件数（count）、合計（sum）、最少（min）、最大（max）を使用できますが、平均（avg）は使用できません。また、オブジェクトごとの積み上げ集計項目の最大数は25となります。,Platformアプリケーションビルダー,中級
16,Universal Containers は、大規模な変更セットでアプリを Developer Sandbox からテスト用の Developer Pro Sandbox にデプロイしました。テスト後、変更セット内のいくつかのコンポーネントに変更を加える必要がありました。アプリビルダーは、新しい変更を Developer Pro Sandbox にどのように移動すればよいでしょうか。,テキストサンドボックスを更新し、変更セットを再表示します。,変更セットを複製し、再表示します。,変更セットの名前を変更し、変更を追加して再表示します。,変更セットを更新し、再表示します。,,B,変更セットをアップロードしたら、内容は変更できません。連動コンポーネントをすでにアップロードした変更セットに追加する必要がある場合は、変更セットのコピーを作成し、連動コンポーネントを追加してもう一度アップロードしなおす必要があります。,Platformアプリケーションビルダー,中級
17,アプリビルダーが、各ステータス (新規、進行中、またはクローズ) および優先度 (重大、高、中、または低) でサポートケースの数を比較するレポートを作成したいと考えています。レポートにはどのソリューションを使用すればよいですか?,グループ化,バケット列,カスタムレポートタイプ,フィルター,,A,レポートの [行をグループ化] に状況、優先度選択リストを指定する事で、状況（ステータス）、優先度選択リスト要素の組み合わせ毎にケースレコード数を表示できます。,Platformアプリケーションビルダー,中級
18,Universal Containers(UC)は、200万を超えるアセットデータを外部システムに保持しています。UCは、Salesforceからリアルタイムにこれらのアセットデータにアクセスする必要がありますが、データストレージの制限に近づいています。アプリビルダーが推奨できる機能はどれですか?,データローダ,Salesforceコネクト,Salesforce to Salesforce,データエクスポートウィザード,,B,"""データストレージの制限に近づいています"" とありますので、外部システムのアセット（画像データやプログラムデータetcの総称）をデータローダでSalesforceへインポートして利用できない状況と判断できます。このような場合、Salesforce組織外のデータをリアルタイムに表示、検索、変更可能にするSalesforce Connectを利用する事が推奨されています。",Platformアプリケーションビルダー,中級
19,Ursa Major Solar には、Celestial Bodies カスタムオブジェクト用の Lightning レコードページが1つありますが、アプリケーションビルダーがモバイルアプリケーションユーザーに制限したい Lightningコンポーネントがあります。Lightningアプリケーションビルダーのどの機能を使用する必要がありますか?,Chatterフィード,関連リストのクイックリンク,ハイライトパネル,コンポーネントの可視性フィルター,,D,コンポーネントの表示設定（可視性フィルター）で、デバイス=電話の場合に非表示にするようにすれば要件を満たせます。,Platformアプリケーションビルダー,中級
20,"DreamHouse Realty (DR) には、DoNotCall チェックボックスがオンになっている場合に連絡先の電話番号を削除するというポリシーがあります。
アプリビルダーはどの自動化ツールを推奨すべきですか?",検証ルール,ワークフロールール,承認プロセス,クイックアクション,,B,取引先責任者の電話項目を空白値（NULL）で更新する項目自動更新を作成し、ワークフロールールで呼び出せば要件を満たせます。,Platformアプリケーションビルダー,中級
21,Universal Containers (UC) では、すべてのユーザーが各商談を「受注」としてマークする前に、契約書が送信されるように指定する必要があります。UC は、商談がクローズされたときに契約書が送信されていない商談の数と比較して、契約書を送信した商談の数をレポートできるようにしたいと考えています。この要件を満たすために、アプリビルダーはどのフィールドタイプを構成する必要がありますか?,テキスト,テキストエリア,ピックリスト,チェックボックス,,D,チェックボックス型のFlg項目を用意して、契約書を送信した場合 → True、契約書を送信しなかった場合 → Falseになるように運用し、レポートでFlg項目のTrue、Falseの数を比較すれば要件を満たせます。,Platformアプリケーションビルダー,中級
22,Cloud Kicks は、デスクトップの商談レコードの上部にある別のセクションに、10個の主要フィールドを一度に表示したいと考えています。この機能を有効にするには、アプリケーションビルダーがレコードページにどのコンポーネントを追加する必要がありますか?,パス,ハイライトパネル,カスタム Lightning Web コンポーネント,アコーディオン,,B,強調表示パネル（ハイライトパネル）コンポーネントを追加して、主要フィールドを表示する必要があります。,Platformアプリケーションビルダー,中級
23,マーケティングディレクターは、昨年、自動車部品があまりにも多く無料で配布されたことを懸念しています。すべての無料部品がマーケティングディレクターの承認を受けるようにするには、どの機能を使用する必要がありますか?,スタック投稿,Chatter承認,自動メールメッセージ,承認プロセス,,D,マーケティングディレクターの承認を得てから販売できるように、承認プロセスを設定する必要があります。,Platformアプリケーションビルダー,中級
24,アプリビルダーは、クライアントページに主要業績評価指標を追加するという任務を負っています。 彼らは、各アカウントのオープンな商談の数と獲得した商談の数の概要を確認したいと考えています。アプリビルダーはこれらの新しい積み上げ集計を構築するためにどこに行けばよいでしょうか?,Lightningアプリケーションビルダー,アカウントオブジェクト,Lightningオブジェクトクリエーター,商談オブジェクト,,B,進行中商談数と受注商談数を「取引先」に表示したい事になるので、主オブジェクトは取引先、集計対象オブジェクトは商談となり、取引先で積み上げ集計を作成する必要があります。,Platformアプリケーションビルダー,中級
25,Salesforce Platformアプリケーションビルダーとして、カスタムオブジェクトの項目を作成する際に、考慮しなければならないのは次のうちどれですか？,項目レベルのセキュリティ,組織全体のデフォルト,ワークフロールール,データのバッチサイズ,,A,カスタムオブジェクトにカスタム項目を作成する際、項目レベルセキュリティを設定して、項目へのアクセス権を制御する必要があります。,Platformアプリケーションビルダー,中級
26,サービスマネージャーは、チームが一貫してケースの優先順位を入力することを確認したいと考えています。これを実現するためにアプリビルダーはどのような機能を使用できますか？,フロー,アプリ内ガイダンス,NextBestAction,パス,,B,アプリケーション内ガイダンスを追加して、ケースの優先順位を確認するように促すプロンプトを設定すれば要件を満たせます。,Platformアプリケーションビルダー,中級
27,アプリビルダーは、新しいアカウント詳細ページのレイアウトをサンドボックスから本番環境にデプロイする必要があります。アプリビルダーが期待通りに正しく、視覚的にデプロイできるようにするには、アプリビルダーが変更セットに含めるべきコンポーネントはどれですか? 答えを3つ選択してください。,システム管理者プロファイル,ライトニングアプリケーションビルダー,カスタムアクション,カスタムフィールド,詳細ページのレイアウト,"C,D,E",変更セットには、修正した詳細ページレイアウトの他に、追加したカスタムアクション、カスタム項目のコンポーネントも含めてリリースをする必要があります。変更セットに含める事ができるコンポーネントに、プロファイルやLightningアプリケーションビルダーは該当しません。,Platformアプリケーションビルダー,中級
28,"Cloud Kicks (CK) は、60,000を超える純新規アカウントのリストをすばやく挿入したいと考えています。CKのデータモデルに基づくテンプレートを使用してリストを作成しました。どのツールを使用する必要がありますか?",インポートウィザード,データローダ,スキーマビルダー,Lightningオブジェクト作成者,,B,"データインポートウィザードは、一度に50,000件までのレコードしかインポートできません。データローダは最大500万件のレコードを一括でインポートできます。",Platformアプリケーションビルダー,中級
29,Cloud Kicks は、取引先に関連するオープンケースの数とクローズケースの数を集計して、顧客サポートの利用率が高いか、中程度か、低いかを示すことを希望しています。2つの数値フィールド NUM_Open_Cases__c と NUM_Closed_Cases_c が作成されています。これらのビジネス要件を満たす自動化ソリューションはどれですか。2つの回答を選択してください。,AppExchange,フロー,承認プロセス,Apex,,"B,D",2つの数値項目に集計結果を登録できるのはApexプログラムで、2つの数値項目を条件判定して顧客サポートの利用率を画像表示できる機能はフローとなります。,Platformアプリケーションビルダー,中級
30,アプリビルダーは、スキーマビルダーを使用して新しいフィールドを作成したいと考えています。デフォルトで新しいフィールドにアクセスできるのは誰ですか?,標準プロファイル,プロファイルなし,内部プロファイル,すべてのプロファイル,,C,スキーマビルダーで項目を追加した場合、デフォルトでは内部プロファイルユーザに項目の参照・編集可能権限が付与されます。,Platformアプリケーションビルダー,中級
31,アプリビルダーは、Salesforceモバイルアプリユーザーの取引先責任者のTwitterプロファイルへのアクセスをどのように構成する必要がありますか？,AppExchangeLightningコンポーネントをモバイルアプリに追加します。,モバイルナビゲーションにTwitterクイックアクションを追加します。,TwitterコンポーネントをモバイルビューのLightningページに追加します。,取引先責任者ページのレイアウトに数式フィールドを追加します。,,C,SalesforceモバイルアプリケーションのTwitterコンポーネントを使用して、Salesforce の取引先責任者のTwitterプロファイルに簡単にアクセスできます。Twitterコンポーネントを使用できるようにするには、モバイルビューのLightningページにコンポーネントを追加する必要があります。,Platformアプリケーションビルダー,中級
32,Universal Containers（UC）は、アカウントの郵便番号の最初の5桁のみを表示する数式を作成する必要があります。アプリビルダーはどの数式を作成する必要がありますか？,"BEGINS（Account.Zip_Code_r, 5）","TEXT（Account.Zip_Code_c, 5）","LPAD（Account.Zip_Code__r, 5）","LEFT（Account.Zip_Code_c, 5）",,D,指定テキストの先頭から指定文字数を出力する関数はLEFT関数となります。取引先の郵便番号が「Account.Zip_Code_c」に該当しますので、下記の数式で郵便番号の先頭5文字を表示できます。,Platformアプリケーションビルダー,中級
33,オブジェクト固有のレコード作成カスタムアクションを定義するときにApp Builderで利用できるオプションは何ですか？ 答えを2つ選択してください,エンドユーザーをターゲットオブジェクトの詳細ページにリダイレクトします。,ターゲットオブジェクトの項目値を事前に定義します。,アクションの項目とレイアウトを指定します。,レコードタイプを選択できるようにします。,,"B,D",オブジェクト固有のレコード作成アクションでは、レコードタイプの選択ができます。また、下記赤枠の定義済み項目値を設定しておくことで、レコード作成した際に特定の値を事前入力させる事ができます。,Platformアプリケーションビルダー,中級
34,アプリビルダーは、構成されている組織全体の既定値を超えてレコードアクセスを拡張する要求を受け取りました。この要件を満たす2つの機能はどれですか?,権限セットグループ,共有ルール,手動共有ルール,公開グループ,,"A,B",組織全体の既定値を超えてレコードアクセスを拡張する際、共有ルールや権限セットを利用します。,Platformアプリケーションビルダー,中級
35,Universal Containers (UC) では、カスタムコンポーネントを4週間で構築するという時間的制約があります。UC開発者は作業を完了するために追加の有効化が必要であり、数か月分のバックログがあります。この要件を満たすために、アプリビルダーはどのオプションを提案する必要がありますか?,AppExchangeソリューションを使用する。,画面フローページを作成する。,Lightningレコード ページを作成する。,Boltソリューションを使用する。,,A,4週間という時間的制約、残作業（バックログ）が溜まっているという事で、開発が大幅に遅延している事が推測できます。カスタムコンポーネントの代替製品がAppExchangeに無いか確認し、アプリインストールによって遅延を解消するような提案が望まれます。,Platformアプリケーションビルダー,中級
36,アプリビルダーは、アカウントに数式フィールドを作成して、関連するデータを含めたいと考えています。連絡先がありますが、数式エディターで関係が見つかりません。問題の原因となっている可能性のある数式の制限は何ですか?,子レコードを参照できません。,主従関係を作成する必要があります。,Accountオブジェクトの数式フィールドの制限に達しました。,"式内の文字数が5,000文字を超えている。",,A,取引先（親）と取引先責任者（子）間には標準で参照関係があり、主従関係を構築する事はできません。数式項目には制限・制約があり、取引先の数式項目で参照できるのはケースのみで、子レコード（取引先責任者）は参照できません。,Platformアプリケーションビルダー,中級
37,Cloud Kicks は最近、リリース管理戦略にアプリケーションライフサイクル管理プロセスを実装しました。バグ修正と簡単な変更はどのカテゴリで処理されますか?,パッチ,マイナー,メジャー,ロールバック,,A,"リリース管理戦略では、メジャーリリース → 大規模な変更、マイナーリリース → 機能追加や見た目の変更、パッチリリース → 軽微な変更となり、""バグ修正と簡単な変更"" のため、パッチリリースが該当します。",Platformアプリケーションビルダー,中級
38,Salesforce Platformアプリケーションビルダーがカスタムアプリケーションのユーザーインターフェースを設計する際に、ユーザーの操作効率を向上させるために最も重要な要素はどれですか？,カスタムボタンやリンクの使用,ライトニングコンポーネントの活用,適切な項目タイプの選択,ビジュアルフォースページのカスタマイズ,,A,カスタムボタンやカスタムリンクの設置はユーザーの操作効率を向上させるために最も重要な要素となります。,Platformアプリケーションビルダー,中級
39,Cloud Kicksでは、発送される各発送に発送日があります。ディスパッチャーは、荷物が発送された日時の詳細を必要とします。アプリビルダーは、現在使用されている項目タイプをDateからDate/Timeに変更する必要があります。システムに既に存在するデータに関して、アプリビルダーは何に注意する必要がありますか?,項目名が変わります。,データ損失が発生します。,変更は瞬時に行われます。,履歴データは12:00タイムスタンプに更新されます。,,D,日付値（Date）→日付/時間（Datetime）に変換する場合、時間部分はGMTの午前12:00に設定されるので注意が必要です。,Platformアプリケーションビルダー,中級
40,商談完了予定日から2か月後の日付を商談に表示する必要があります。アプリビルダーはどのアプローチを取るべきですか？,商談完了予定日に+60を加算する数式項目を作成します。,商談完了予定日に+((365/12)* 2)を加算する数式項目を作成します。,ADDMONTHS()関数を使用する数式項目を作成します。,TODAY()に+60を加算する数式項目を作成します。,,C,"ADDMONTHS(日付, 月数) で日付に月数を加算する事ができます。商談完了日のAPI参照名はCloseDateなので、ADDMONTHS(CloseDate, 2) の数式項目を作成して、数式項目を商談に表示すると、商談完了予定日から2か月後の日付を商談に表示する事ができます。",Platformアプリケーションビルダー,中級
41,Cloud Kicks のアプリビルダーは、スキーマビルダーでカスタムオブジェクトと関連項目を作成しました。ユーザーが新しいオブジェクトと項目にアクセスできるようにするために、アプリビルドで次に実行する必要がある手順はどれですか?,オブジェクトの項目にデータ型を割り当てます。,オブジェクトのページレイアウトに項目を追加します。,オブジェクトと項目のレポートを許可します。,オブジェクトと項目にアクセスするための権限セットを作成します。,,B,スキーマビルダーを使用して追加した項目は、オブジェクトのページレイアウトに自動的に追加されないので、ユーザーが新しい項目にアクセスできるようにするためには、ページレイアウトに項目を追加する必要があります。,Platformアプリケーションビルダー,中級
42,アプリビルダーは、変更セットをサンドボックスから本番環境にデプロイしたところ、リリースに長時間かかっています。遅延の原因は何ですか？,連動項目の変更が変更セットに含まれています。,プロファイルの変更が変更セットに含まれています。,データ型の変更が変更セットに含まれます。,ロールの変更が変更セットに含まれています。,,C,変更セットにカスタム項目のデータ型の変更が含まれる場合、大量のレコードの変更が必要になることがあるため、リリースに相当時間がかかることがあります。,Platformアプリケーションビルダー,中級
43,コールセンターのカスタマーサービス担当者は、一連の質問プロンプトを使用して顧客から情報を収集したいと考えています。これを実現するためにアプリビルダーは何を使うべきでしょうか?,承認プロセス,フロー,検証ルール,パス,,B,質問毎に回答結果を入力できる画面フローを作成し、次の質問になったら別の画面フローに遷移し、完了ボタンを押したらデータ登録できるようなフローを作成する事で要件を実現できます。,Platformアプリケーションビルダー,中級
44,ユニバーサルコンテナは、Salesforce内で顧客と協力したいと考えており、Chatter設定から「顧客の招待を許可する」を有効にしました。顧客がChatterグループに招待された場合、どのような許可が与えられますか？,取引先責任者であるアカウントに@メンションする機能,公開グループへのアクセスをリクエストする機能,グループのメンバーと対話する機能,顧客がメンバーをグループに招待する機能,,C,Chatter設定から [顧客の招待を許可] を有効化すると、chatterグループを所有しているユーザはグループに顧客を招待できるようになります。chatterグループに参加した顧客は、招待されたグループのメンバーとのみ対話する事ができます。,Platformアプリケーションビルダー,中級
45,営業担当者は、誰が自分の取引先レコードを表示できるか、またその人がどのような方法でアクセスできるかを確認できるようにしたいと考えています。これを有効にするには、アプリビルダーはどのボタンを取引先ページレイアウトに追加すればよいでしょうか。,共有階層,新規タスク,共有,フェイト,,C,共有ボタンを用意する事でそのレコードにアクセスできるユーザやグループが誰で、どのようなアクセス権を持っているか確認できるようになります。,Platformアプリケーションビルダー,中級
46,ユニバーサルコンテナ（UC）は、5000件のリードレコードから数項目のデータを削除したいと考えています。UCは、csvファイルでデータを削除する必要があり、選択されたレコードIDと項目をエクスポートします。これらの要件を満たすために、アプリビルダーが提案する作業ステップはどれですか？答えを2つ選択してください。,設定でnull値の挿入を選択します。,正しいレコードタイプを選択します。,インポートウィザードを使用して、CSVファイルを使用してリードを更新します。,データローダーを使用してCSVファイルを使用してリードを更新します。,,"A,D",CSVファイルを用いてデータを削除したい場合は、データローダのsettingからinsert null valuesを有効化して、削除項目の値を空白にしたCSVファイルを用意後、上記CSVファイルを用いて、データローダでUpdateを行えば項目の値が削除できます。,Platformアプリケーションビルダー,中級
47,Universal Containersは、カスタムオブジェクトを使用してサイト訪問を追跡します。サイト訪問のステータスが「進行中」から「保留中」に変更されたとき、サイト訪問の所有者が自動的に「保留中」キューに割り当てられることを望んでいます。これを達成するために使用できる機能はどれですか？答えを2つ選択してください。,Apex Trigger,オブジェクト固有のアクション,フロー,割り当てルール,,"A,C",割り当てルールはケースとリードオブジェクトのみに設定可で、カスタムオブジェクトに設定する事はできません。キューを作成するとID値が設定されるので、ステータスが変更されたタイミングにレコード所有者を保留中キューIDで更新するApexトリガやフローを作成すれば、要件を実現できます。,Platformアプリケーションビルダー,中級
48,AW Computing は、商談にプライベート共有モデルを使用しています。サービス契約タイプの商談が作成されると、サービスマネージャロールのすべてのユーザーがその商談を表示できる必要があります。これを実現するために、AW Computing が使用すべきツールはどれですか?,手動共有,所有者ベースの共有ルール,Apex共有ルール,条件ベースの共有ルール,,D,商談ステータス=サービス契約タイプが作成された場合に、サービスマネージャロールにアクセス権を付与しなければならないので、条件に基づく共有ルールでアクセス権を付与する必要があります。,Platformアプリケーションビルダー,中級
49,新しいLightningレコードページのテンプレートを選択するとき、アプリケーションビルダーは何を考慮する必要がありますか?,初期保存後、テンプレートを変更することはできません。,ユーザーがレコードページを表示するために使用するデバイスの種類ごとに、新しいテンプレートを選択します。,ページ構造は、レコードページの表示に使用されているデバイスに自動的に適応します。,レコードページを表示するには、オブジェクトに対する「すべてのデータの表示」権限が必要です。,,C,ページテンプレートを選択して新しいLightningレコードページを新規作成する際、マルチデバイス対応のページテンプレートを選択でき、ページ構造はデバイスに自動適応されます。,Platformアプリケーションビルダー,中級
50,Universal Containers は、特定の権限セットを新規ユーザーに自動的に割り当てたいと考えています。この要件を満たすにはどうすればよいでしょうか。2つの回答を選択してください。,ユーザーオブジェクトに承認プロセスを作成して権限セットを割り当てます。,ユーザーオブジェクトにフローを作成して権限セットを割り当てます。,ユーザーオブジェクトにLightningプロセスを作成してフローを起動します。,ユーザーオブジェクトにワークフロールールを作成して権限セットを割り当てます。,,"B,C",ワークフローや承認プロセスの自動化処理では、権限セットをユーザに付与するようなアクションを設定する事はできません。しかし、フローでは権限セットレコードを取得でき、権限セットを有効化するアクションを設定できます。上記フロー作成後、プロセスビルダーで「権限セットを有効化するフロー」を呼び出すようにすれば、権限セットをユーザーに自動的に割り当てる事ができます。,Platformアプリケーションビルダー,中級
51,AW Computing の営業担当者は、Chatterフィードをスクロールしても探しているものを見つけることができません。フィルターを使用して、主要なアカウントと商談レコードからの投稿のみを表示するにはどうすればよいでしょうか?,Chatter グループを作成します。,Chatter ブックマークを作成します。,Chatter ストリームを作成します。,Chatter 通知を作成します。,,C,Chatterストリームを作成して、主要な取引先レコードと商談レコードをフォローする事で、閲覧したい情報のみ絞り込み表示できるようになります。,Platformアプリケーションビルダー,中級
52,DreamHouse Realtyは、プロパティレコードを外部システムからSalesforceにインポートしたいと考えています。アプリビルダーは、外部ID項目を使用して、外部システムからのプロパティIDを格納します。外部ID項目を使用する際にアプリビルダーが留意すべき点はどれですか？答えを2つ選択してください,外部IDフィールドはテキストフィールドにすることができます。,外部IDフィールドは数値フィールドにすることができます。,外部IDフィールドはURLフィールドにすることができます。,外部IDフィールドは電話フィールドにすることができます。,,"A,B",テキスト型や数値型の項目は外部ID項目とする事ができますが、電話型、URL型は外部ID項目にできません。,Platformアプリケーションビルダー,中級
53,Universal Containers は、既存のサンドボックスで新機能を試験運用しており、テスト中にメールが送信されないようにしたいと考えています。アプリビルダーは要件を満たすために何をすべきですか。,メールの配信をシステムメールのみに設定。,メールをSMTP認証用に構成。,構成済みホストへのメール リレーが有効。,メールの配信をアクセスなしに設定。,,A,Sandboxのメール送信設定を [システムメールのみ] にすると、Sandboxから送信されるメールが制御されて、テストメールがユーザーに送信されないようになるので便利です。,Platformアプリケーションビルダー,中級
